index,LATITUDE,LONGITUDE
0,25.8910306063,-80.1605605249
1,25.891324233,-80.1539675238
2,25.8913341472,-80.153739502
3,25.8917646206,-80.1526571373
4,25.891824571,-80.1546394619
5,25.8920596966,-80.1613541539
6,25.8924726072,-80.1572166474
7,25.8930187999,-80.1574258802
8,25.8930463777,-80.1615562769
9,25.8930495526,-80.1580476911
10,25.8932048397,-80.1555378492
11,25.8934605014,-80.1683697701
12,25.893526909,-80.1668569854
13,25.8935304948,-80.1666650338
14,25.8941562568,-80.1590586955
15,25.8943570265,-80.1680434581
16,25.8943648992,-80.16785559
17,25.8944409224,-80.1611290865
18,25.8946643832,-80.1610606319
19,25.8954044487,-80.1544097829
20,25.8956119141,-80.1544185384
21,25.8959663919,-80.1563252577
22,25.8965906437,-80.1480698498
23,25.8968084764,-80.1564577689
24,25.8969740713,-80.151359975
25,25.8970739756,-80.1470642984
26,25.8972207514,-80.1489638897
27,25.8975851356,-80.1513917581
28,25.8975933919,-80.1511638343
29,25.8980587271,-80.1535868064
30,25.8980679312,-80.1511942939
31,25.8985041069,-80.1453945003
32,25.8986569234,-80.1490239338
33,25.8989153848,-80.145918368
34,25.8989791034,-80.1573563733
35,25.8991147778,-80.1532505715
36,25.8994777195,-80.148292138
37,25.9010582278,-80.150690969
38,25.901797204,-80.157754953
39,25.9018385592,-80.1550050836
40,25.90226147,-80.1546475117
41,25.9261212689,-80.1282938893
42,25.9286204707,-80.1414704516
43,25.9294058818,-80.1394298492
44,25.9295632763,-80.142110763
45,25.9302875937,-80.138128165
46,25.9333969996,-80.1388211567
47,25.9334230059,-80.1380844211
48,25.9344503278,-80.138452801
49,25.9348715318,-80.1390075282
50,25.9354297416,-80.1397173463
51,25.9374973065,-80.139083998
52,25.9477512441,-80.1229052716
53,25.9486101547,-80.123784232
54,25.9488947784,-80.1229069885
55,25.9510053572,-80.1214113119
56,25.9513415656,-80.1213901256
57,25.9514535589,-80.1213818659
58,25.956549643,-80.122559504
59,25.9566388427,-80.1239600693
60,25.956810508,-80.1230802948
61,25.9569408865,-80.1211070009
62,25.9595193828,-80.1215048651
63,25.9603194522,-80.1296975372
64,25.960574499,-80.1294208202
65,25.9616156315,-80.1290411497
66,25.966154153,-80.1220130305
67,25.9678166313,-80.1384572549
68,25.9679820173,-80.1386415792
69,25.9681911665,-80.1260508411
70,25.968266027,-80.1259119136
71,25.9687092531,-80.1279746853
72,25.968746686,-80.1262723241
73,25.9688195691,-80.1375010799
74,25.9689460763,-80.1262628707
75,25.968949375,-80.1279847438
76,25.9691836022,-80.125976757
77,25.9709959518,-80.1381229916
78,25.9717992103,-80.1362515606
79,25.9718088515,-80.1361301575
80,25.9720719756,-80.1373107473
81,25.9724851077,-80.1381998368
82,25.9743818667,-80.1197463899
83,25.8872805164,-80.1766668286
84,25.8880848848,-80.1754943188
85,25.8881396567,-80.178057756
86,25.888513353,-80.1780707877
87,25.8894233843,-80.1735801883
88,25.891947374,-80.1836685926
